Recipe ID,Recipe Name,Products,Energy (kcal),Carbs (g),Protein (g),Fat (g),Preparation Time (min),Type of Preparation,Taste Rating,Shelf Time (days)
R-001!,Chipotle Nutmeg Blend,"Chipotle Peppers(103 gr),Nutmeg(183 gr),Dried Tarragon(126 gr),Carrot Juice(184 ml)",264.82,45.54,25.47,24.41,34,Baking,7,4
R-002!,Lemongrass Quinoa Nuts,"Lemongrass(157 ml),Red Quinoa(63 ml),Macadamia Nuts(181 gr)",391.56,60.41,34.28,28.56,33,Grilling,6,5
R-003,Kachori Seaweed Mix,"Aloo Kachori(177 gr),Wasabi Powder Paste(102 gr),Fennel Seed Oil(145 ml),Japanese Seaweed Salad(196 gr),Dried Starfruit(68 gr),Chinese Pickled Mustard Greens(94 gr),Mango Extract Powder(103 gr)",410.96,45,10.29,28.88,47,Baking,10,1
R-004,Tomato Cilantro Butter,"Tomato Cilantro Butter(133 ml),Potato Starch(151 gr),Mustard Seeds(61 gr),Dried Kiwi Powder(88 gr),Tori Karaage Mix Kit(109 gr),Sweet Vanilla Vinaigrette(172 ml),Murg Masala(73 gr)",393.39,33.66,22.15,16.83,30,Cooking,2,3
R-005,Mango Gochujang Paste,"Mango Pulp Paste(130 gr),Korean Gochujang Paste(189 ml),Apple Pie Spice(56 gr),Pakoras(184 gr),Chinese Broccoli(119 gr),Buckwheat Flour(152 gr),Japanese Dashi(138 ml)",455.34,39.44,34.89,20.19,39,Cooking,7,2
R-006,Mint Korean Tofu,"Mint Papaya Sauce(57 ml),Korean Sweet Chilli Powder(177 gr),Tofu Skin(120 gr),Chinese Soybean Oil(159 ml)",398.45,62.64,28.71,11.23,18,Frying,1,2
R-007!,Avocado Lime Bread,"Avocado(54 pieces),White Wine(177 ml),Lime Zest(67 gr),Bread Flour(189 gr)",440.51,24.73,29.88,26.16,48,Frying,6,5
R-008!,Epazote Safflower Coffee,"Epazote(79 gr),Safflower Oil(161 ml),Tapioca Flour(117 gr),Instant Coffee(124 gr)",102.58,36.94,10.33,24.63,56,Cooking,7,3
R-009!,Salsa Malted Milk,"Salsa(131 ml),Malted Milk Powder(190 gr),Lemon Extract(116 ml)",145.41,32.03,26.16,28.32,48,Grilling,4,1
R-010,Chinese Spice Blend,"Chinese Five Spice(55 gr),Pakora Atta(169 gr),Zucchini Papaya Butter(183 ml),Poppy Seeds(56 gr),Tomato Cilantro Sauce(106 ml),Shredded Coconut(81 gr),Crispy Onions(88 gr)",145.34,44.63,28.6,23.91,51,Grilling,2,3
R-011,Steamed Thai Buns,"Steamed Buns(197 gr),Thai Red Curry(50 gr),Yuzu Papaya Butter(52 ml)",370.84,34,28.08,7.64,36,Cooking,4,3
R-012!,Papaya Quinoa Fruit,"Dried Papaya(87 gr),Quinoa Flour(165 gr),Fruit(191 ml),Tomato Paste(70 ml)",312.59,55.32,21.69,28.15,49,Baking,2,3
R-013,Fermented Bean Sauce,"Fermented Bean Curd(161 gr),Tomato Puree Powder(128 gr),Pickled Chinese Vegetables(135 gr),Shabu-Shabu(74 gr),Yuzu Basil Sauce(107 ml)",432.34,62.55,27.29,15.15,59,Frying,3,3
R-014!,Cheese Cider Raisins,"Colby Jack Cheese(194 gr),Apple Cider Vinegar(183 ml),Cashew Milk(162 ml),Port Wine(169 ml),Raisins(113 ml)",334.62,58.94,19.68,14.36,13,Cooking,2,3
R-015,Sausage Matcha Vinaigrette,"Lao Sausage(143 gr),Bulgur Wheat(78 gr),Matcha Green Tea(129 gr),Cheela(122 gr),Chili Papaya Butter(122 ml),Fennel Cilantro Sauce(91 ml),Tomato Basil Vinaigrette(195 ml)",229.58,36.6,12.45,9.37,42,Grilling,7,1
R-016!,Raisin Lentil Paneer,"Raisins(181 gr),Green Lentils(125 ml),Paneer(50 pieces)",309.75,27.74,20.27,26.12,16,Grilling,3,5
R-017,Dolma Sichuan Chutney,"Dolma(129 gr),Sichuan Pepper Powder(179 gr),Maple Ginger Chutney(80 ml)",407.1,43.28,24.57,23.94,54,Grilling,2,5
R-018,Thai Maple Chili,"Thai Curry Powder(143 gr),Maple Cilantro Vinaigrette(161 ml),Chili Oil Paste(126 gr),Asian Dried Seaweed(169 gr)",310.29,21.4,23.2,26.62,52,Cooking,8,1
R-019,Tomato Lotus Ginger,"Tomato Mint Butter(126 ml),Lotus Seed Paste(71 ml),Ginger Citrus Chutney(80 ml),Naan Bread(120 gr)",419.44,59.49,26.62,16.21,37,Cooking,10,2
R-020,Seaweed Grapefruit Guacamole,"Roasted Seaweed Sheets(76 gr),Grapefruit Sage Vinaigrette(124 ml),Yuzu Concentrate Powder(118 gr),Guacamole Mix(149 gr)",331.21,39.52,20.53,12.58,40,Cooking,5,2
R-021,Bay Pineapple Vinaigrette,"Bay Leaves(107 gr),Pine Nut Flour(141 gr),Pineapple Mint Vinaigrette(157 ml),Mint Ginger Vinaigrette(78 ml),Sakura Shrimp Pack Kit(179 gr),Dried Rose Buds(188 gr),Poppy Seed Oil(56 ml)",258.2,41.09,31.39,23.23,53,Frying,5,5
R-022!,Sugar Sunflower Mix,"Turbinado Sugar(157 gr),Sunflower Seeds(145 gr),Dried Strawberries(84 gr),Grapefruit(61 pieces),Fenugreek Leaves(190 ml),Whole Wheat Flour(199 gr)",393.63,57.53,20.4,29.33,43,Frying,4,5
R-023,Ajitsuke Rogan Chutney,"Ajitsuke Tamago(118 gr),Rogan Josh(196 gr),Fig Papaya Vinaigrette(60 ml),Mustard Vinaigrette(57 ml),Japanese Soybean Flour(134 gr),Paneer Butter Masala(122 gr),Tomato Basil Chutney(178 ml)",414.07,45.31,13.36,16.63,44,Cooking,6,1
R-024!,Mushroom Goji Tapenade,"Brown Mushrooms(68 gr),Cane Sugar(68 gr),Goji Berries(139 gr),Peanut Oil(124 ml),Olive Tapenade(138 ml),Parmesan Cheese(83 gr)",263.78,56.1,37.94,27.67,22,Cooking,3,4
R-025,Lemongrass Mochi Mix,"Dried Lemongrass(136 gr),Mochi Rice Cake(142 gr),Shichimi Togarashi Mix Pack(139 gr)",475.27,54.06,19.74,20.59,49,Baking,5,1
R-026!,Dal Lemon Paneer,"Toor Dal(83 ml),Lemon Curd(150 ml),Liquorice(86 gr),Paneer(99 pieces),Basmati Rice(200 ml)",423.88,31.51,29.66,28.33,22,Grilling,3,4
R-027,Puri Garlic Litti,"Puri(138 gr),Japanese Dashi(126 ml),Korean Garlic Paste(185 ml),Litti(156 gr),Rice Bran Oil Powder(131 gr)",435.52,28.3,32.06,16.92,60,Cooking,2,3
R-028!,Anchovy Paprika Ferns,"Anchovy Fillets(182 gr),Paprika(174 gr),Fiddlehead Ferns(99 ml),Sesame Oil(148 ml)",485.42,32.34,17.28,15.63,48,Grilling,3,1
R-029,Pitha Angelica Pumpkin,"Pitha(141 gr),Chinese Angelica Root(176 gr),Aloo Baingan(118 gr),Pumpkin(158 ml)",315.2,50.42,11.86,5.14,53,Baking,3,2
R-030,Rice Noodle Krapow,"Rice Noodles(138 gr),Chinese Red Chili Powder(189 gr),Moo Pad Krapow(75 gr)",443.71,46.79,10.65,6.97,50,Baking,1,4
R-031,Goji Berry Roti,"Goji Berry Tea(192 ml),Roti Flour(69 gr),Japanese Rice Flour(95 gr),Pistachio Meal(101 gr)",104.78,56.24,11.26,18.21,38,Baking,2,1
R-032!,Coconut Almond Asparagus,"Coconut Oil(199 ml),Basmati Rice(53 ml),Ground Almonds(112 gr),Rosemary Stalks(87 pieces),Cottage Cheese(67 ml),Asparagus(172 ml)",297.38,48.09,19.68,13.02,14,Grilling,10,3
R-033,Curry Peach Saffron,"Green Curry Spice Mix(140 gr),Peach Mint Sauce(138 ml),Saffron Mango Butter(80 ml)",412.55,49.52,14.08,26.53,31,Baking,5,2
R-034!,Horseradish Star Peas,"Horseradish(66 ml),Star Anise(180 gr),Frozen Peas(170 ml)",231.76,48.93,29.91,9.87,42,Cooking,9,5
R-035,Herb Papaya Chutney,"Herb Papaya Chutney(148 ml),Asian Pear(168 pieces),Soya Chunk Curry(100 gr),Mint Ginger Vinaigrette(142 ml),Pineapple Vanilla Vinaigrette(68 ml),Sesame Salt(185 gr),Turnip(154 pieces)",458.21,62.31,36.84,23.09,22,Baking,2,1
R-036!,Condensed Green Lotus,"Condensed Milk(135 ml),Green Beans(70 ml),Lotus Root(80 ml)",104.62,20.59,18.77,14.47,35,Baking,4,4
R-037,Tomato Pineapple Sichuan,"Tomato Cilantro Sauce(124 ml),Pineapple Mint Butter(130 ml),Sichuan Hot Bean Paste(165 ml),Misal Pav(174 gr),Coconut Thyme Sauce(176 ml),Chili Oil(196 ml),Khao Soi(152 gr)",292.52,33.92,26.01,14.78,13,Baking,10,3
R-038,Chili Dal Quinoa,"Chili Sauce Concentrate Mix(110 ml),Dal Chawal(190 gr),Quinoa Grain(78 gr),Turmeric Ginger Tea(120 gr),Almond Papaya Vinaigrette(71 ml)",272.82,37.75,34.09,13.15,15,Frying,10,5
R-039,Turmeric Garlic Yucca,"Turmeric Vanilla Sauce(120 ml),Chinese Garlic Sauce(171 ml),Black Sesame Paste(56 ml),Yucca(148 pieces)",451.58,52.03,20.08,23.63,24,Baking,3,4
